,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,year
7,8,조원우,SK,0.281,128,518,452,65,127,18,0,8,169,48,13,4,8,조원우,SK,0.281,35,1,14,65,7,0.374,0.349,0.723,39,0.316,0.143,8.0,조원우,SK,0.281,26.0,127.0,137.0,0.93,0.0,0.54,3.92,0.093,61.9,0.251,2003
8,9,정경배,SK,0.272,119,425,372,55,101,16,0,12,153,51,12,3,9,정경배,SK,0.272,27,0,11,56,3,0.411,0.337,0.748,22,0.279,0.0,9.0,정경배,SK,0.272,28.0,104.0,114.0,0.91,0.0,0.48,3.81,0.140,54.5,0.254,2003
9,10,강성우,SK,0.264,39,59,53,5,14,1,0,0,15,3,2,0,10,강성우,SK,0.264,3,0,1,10,3,0.283,0.316,0.599,3,0.143,1.0,10.0,강성우,SK,0.264,1.0,20.0,9.0,2.22,0.0,0.30,3.39,0.019,4.0,0.213,2003
10,11,박경완,SK,0.250,122,428,336,49,84,16,2,15,149,60,21,3,11,박경완,SK,0.250,59,2,9,93,8,0.443,0.373,0.816,19,0.265,0.0,11.0,박경완,SK,0.250,33.0,65.0,97.0,0.67,0.0,0.63,4.16,0.193,58.4,0.279,2003
11,11,윤형국,SK,0.250,4,5,4,0,1,0,0,0,1,1,0,0,11,윤형국,SK,0.250,1,0,0,1,0,0.250,0.400,0.650,0,0.5,0.0,11.0,윤형국,SK,0.250,0.0,1.0,1.0,1.00,0.0,1.00,3.80,0.000,0.6,0.243,2003
12,13,안재만,SK,0.247,85,209,182,30,45,11,2,7,81,29,5,2,13,안재만,SK,0.247,17,0,3,53,3,0.445,0.319,0.764,11,0.311,0.167,13.0,안재만,SK,0.247,20.0,45.0,41.0,1.10,0.0,0.32,3.85,0.198,25.6,0.255,2003
13,14,채종범,SK,0.242,94,247,223,20,54,10,0,3,73,15,4,3,14,채종범,SK,0.242,11,1,6,34,5,0.327,0.292,0.619,11,0.176,0.286,14.0,채종범,SK,0.242,13.0,68.0,70.0,0.97,0.0,0.32,3.54,0.085,21.6,0.213,2003
14,15,양현석,SK,0.226,55,89,84,6,19,3,0,1,25,9,0,2,15,양현석,SK,0.226,3,0,0,18,1,0.298,0.247,0.545,4,0.179,0.129,15.0,양현석,SK,0.226,4.0,16.0,33.0,0.48,0.0,0.17,3.75,0.071,6.9,0.186,2003
15,16,김민재,SK,0.211,129,452,369,43,78,16,1,4,108,36,30,5,16,김민재,SK,0.211,44,0,4,42,13,0.293,0.299,0.592,16,0.242,0.0,16.0,김민재,SK,0.211,21.0,136.0,118.0,1.15,0.0,1.05,3.63,0.081,35.1,0.208,2003
16,17,정상호,SK,0.211,21,45,38,5,8,4,1,0,14,2,4,0,17,정상호,SK,0.211,3,0,0,11,0,0.368,0.268,0.636,2,0.143,0.5,17.0,정상호,SK,0.211,5.0,9.0,10.0,0.90,0.0,0.27,4.16,0.158,3.8,0.213,2003
