,index,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,year,HR홈런,index,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,year,OBP출루율,BB볼넷,index,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,year,BB/K볼넷/삼진,GO땅볼,ISOP순수장타율,GO/AO땅볼/뜬공
192,4,5,데이비스,한화,0.287,115,456,404,56,116,23,1,21.0,204,72,0,2,2002,,3.0,25,서창호,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,3.0,25,서창호,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
193,5,6,황우구,한화,0.280,43,91,75,9,21,5,0,2.0,32,13,4,1,2002,,4.0,25,송진우,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,4.0,25,송진우,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
194,6,7,가르시아,한화,0.260,24,77,73,7,19,3,1,2.0,30,8,0,0,2002,,5.0,25,이상목,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,5.0,25,이상목,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
195,7,8,이범호,한화,0.260,111,329,296,41,77,20,2,11.0,134,35,4,2,2002,,6.0,25,임주택,한화,0.000,0.0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0,2002,,,6.0,25,임주택,한화,0.000,0,1.0,2,0.50,0,0.00,4.17,0.000,-0.6,0.0,2002,,,,
196,8,9,조현수,한화,0.256,33,47,43,4,11,0,0,1.0,14,4,0,0,2002,,7.0,25,정성열,한화,0.000,0.0,0,0,2,1,0.000,0.000,0.000,0,0.0,0.0,2002,,,7.0,25,정성열,한화,0.000,0,5.0,2,2.50,0,0.00,3.44,0.000,-1.2,0.0,2002,,,,
197,9,10,허준,한화,0.255,103,227,196,14,50,5,0,2.0,61,11,8,2,2002,,8.0,25,조규수,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,8.0,25,조규수,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
198,10,11,김태균,한화,0.255,105,344,298,25,76,11,0,7.0,108,34,1,2,2002,,9.0,25,지승민,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,9.0,25,지승민,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
199,11,12,장종훈,한화,0.248,101,331,302,38,75,15,0,12.0,126,42,1,2,2002,,10.0,25,최영필,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,10.0,25,최영필,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
200,12,13,이도형,한화,0.241,123,392,365,36,88,15,0,16.0,151,55,2,3,2002,,11.0,25,파라,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,11.0,25,파라,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
201,13,14,조효상,한화,0.238,24,21,21,2,5,3,1,0.0,10,2,0,0,2002,,12.0,25,피코타,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,12.0,25,피코타,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
