,index,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,year,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
77,6,7,김경언,KIA,0.263,107,323,274,45,72,16,1,1.0,93,33,1,1,2002,15.0,1,2,36,5,0.224,0.242,0.466,2,0.179,0.4,7,42.0,66,0.64,0,0.42,4.05,0.053,9.0,0.165
78,7,8,김민철,KIA,0.261,58,53,46,9,12,1,0,0.0,13,3,2,0,2002,12.0,0,3,39,4,0.225,0.223,0.448,2,0.083,1.0,6,43.0,57,0.75,0,0.31,3.63,0.069,9.7,0.157
79,8,9,홍세완,KIA,0.257,111,449,401,43,103,21,0,12.0,160,69,8,4,2002,3.0,0,0,6,0,0.125,0.263,0.388,0,0.2,0.0,0,3.0,5,0.60,0,0.50,4.21,0.000,0.7,0.15
80,9,10,이현곤,KIA,0.257,52,122,113,11,29,7,1,3.0,47,12,0,0,2002,0.0,0,0,1,0,0.100,0.100,0.200,0,0.0,0.0,0,6.0,2,3.00,0,0.00,2.70,0.000,-0.5,0.07
81,10,11,펨버튼,KIA,0.255,75,316,271,28,69,13,1,11.0,117,48,0,3,2002,1.0,0,0,1,0,0.091,0.167,0.258,0,0.0,0.0,0,4.0,5,0.80,0,1.00,4.25,0.000,-0.1,0.098
82,11,12,오우진,KIA,0.250,14,17,16,0,4,0,0,0.0,4,2,0,0,2002,0.0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,0,1.0,0,-,0,-,2.00,0.000,-0.1,0.0
83,12,12,장일현,KIA,0.250,81,145,132,11,33,8,0,3.0,50,19,1,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
84,13,14,김인철,KIA,0.235,37,53,51,5,12,4,0,1.0,19,6,1,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
85,14,15,김지훈,KIA,0.229,49,52,48,6,11,1,0,3.0,21,9,2,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
86,15,15,이동수,KIA,0.229,28,56,48,3,11,1,0,0.0,12,8,0,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
87,16,17,김태룡,KIA,0.227,66,105,97,12,22,6,0,2.0,34,8,0,2,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
88,17,18,장정석,KIA,0.225,75,116,102,11,23,5,0,1.0,31,7,4,1,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
89,18,19,김상훈,KIA,0.221,113,391,357,36,79,12,0,7.0,112,41,8,3,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
90,19,20,김창희,KIA,0.216,114,350,310,28,67,12,0,5.0,94,35,4,5,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
91,20,21,조민철,KIA,0.214,12,16,14,1,3,0,0,0.0,3,2,0,0,2002,54.0,5,18,51,6,0.544,0.462,1.006,26,0.319,0.4,30,88.0,60,1.47,0,1.06,4.18,0.209,73.1,0.344
92,21,22,뉴선,KIA,0.209,35,133,115,15,24,5,0,7.0,50,17,0,1,2002,7.0,1,3,18,0,0.469,0.476,0.945,2,0.333,0.4,2,3.0,1,3.00,0,0.39,4.33,0.156,7.7,0.331
93,22,23,이재주,KIA,0.152,26,37,33,2,5,0,0,2.0,11,5,1,0,2002,38.0,0,2,51,3,0.380,0.381,0.761,30,0.266,0.0,18,91.0,87,1.05,0,0.75,3.99,0.071,51.0,0.266
94,23,24,김지영,KIA,0.136,11,23,22,1,3,0,0,0.0,3,1,0,0,2002,50.0,12,2,57,6,0.450,0.375,0.825,30,0.253,0.0,37,135.0,85,1.59,0,0.88,3.72,0.157,63.4,0.281
95,24,25,이대진,KIA,0.083,23,38,36,2,3,1,1,0.0,6,4,0,0,2002,38.0,1,6,109,11,0.467,0.359,0.826,31,0.317,0.5,43,95.0,67,1.42,0,0.35,4.05,0.179,61.3,0.278
96,25,26,박충식,KIA,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,25.0,1,0,49,6,0.385,0.344,0.729,20,0.271,0.0,20,95.0,52,1.83,0,0.51,3.80,0.099,34.0,0.251
97,26,26,방동민,KIA,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,49.0,7,4,70,5,0.440,0.357,0.797,34,0.301,0.0,35,95.0,136,0.70,0,0.70,4.04,0.161,66.6,0.271
98,27,26,심제훈,KIA,0.000,4,2,2,1,0,0,0,0.0,0,0,0,0,2002,14.0,0,5,82,11,0.412,0.301,0.713,20,0.274,0.0,32,84.0,104,0.81,0,0.17,3.56,0.144,43.1,0.238
