,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,년도,경기타입
8,9,조원우,SK,0.269,17,0,6,44,4,0.391,0.320,0.711,19,0.276,0.143,2002,KBO 정규시즌
9,10,양현석,SK,0.267,17,1,12,41,4,0.382,0.360,0.742,8,0.256,0.333,2002,KBO 정규시즌
10,11,최태원,SK,0.262,19,0,9,40,1,0.327,0.331,0.658,12,0.222,0.000,2002,KBO 정규시즌
11,12,김민재,SK,0.258,26,0,11,45,13,0.387,0.308,0.695,35,0.202,0.000,2002,KBO 정규시즌
12,13,김기태,SK,0.257,47,0,0,57,6,0.412,0.359,0.771,20,0.365,0.364,2002,KBO 정규시즌
13,14,김동수,SK,0.243,22,1,9,51,4,0.430,0.323,0.753,7,0.246,0.000,2002,KBO 정규시즌
14,15,송재익,SK,0.229,4,1,3,31,1,0.300,0.299,0.599,3,0.240,1.000,2002,KBO 정규시즌
15,16,강성우,SK,0.216,2,0,0,10,4,0.239,0.228,0.467,4,0.200,0.000,2002,KBO 정규시즌
16,17,양용모,SK,0.215,2,1,1,32,1,0.318,0.234,0.552,4,0.185,0.105,2002,KBO 정규시즌
17,18,조경환,SK,0.214,20,1,6,99,2,0.429,0.279,0.708,15,0.151,0.000,2002,KBO 정규시즌
18,19,정상호,SK,0.179,0,0,2,12,0,0.179,0.214,0.393,1,0.250,0.167,2002,KBO 정규시즌
19,20,김동건,SK,0.167,0,0,0,4,0,0.167,0.167,0.334,0,0.000,0.000,2002,KBO 정규시즌
20,21,강혁,SK,0.149,2,1,0,13,1,0.191,0.184,0.375,0,0.091,0.200,2002,KBO 정규시즌
21,22,김강민,SK,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
22,22,박계원,SK,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
23,22,오승준,SK,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
24,22,윤형국,SK,-,1,0,0,0,0,-,1.000,1.000,0,0.000,0.000,2002,KBO 정규시즌
25,22,이대수,SK,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
26,22,정대현,SK,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
27,22,조동화,SK,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,2002,KBO 정규시즌
28,22,조웅천,SK,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
29,22,채병용,SK,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
