,순위,선수명,팀명,AVG,G,PA,AB,H,2B,3B,HR,RBI,년도,경기타입
1,2,황성기,KIA,0.333,2,3,3,1,0,0,0,0,2002,KBO 시범경기
2,3,정성훈,KIA,0.312,114,385,340,106,19,3,9,39,2002,KBO 시범경기
3,4,신동주,KIA,0.311,81,273,244,76,9,1,7,33,2002,KBO 시범경기
4,5,이종범,KIA,0.293,123,546,485,142,25,2,18,59,2002,KBO 시범경기
5,6,김종국,KIA,0.287,133,595,527,151,26,3,8,53,2002,KBO 시범경기
6,7,김경언,KIA,0.263,107,323,274,72,16,1,1,33,2002,KBO 시범경기
7,8,김민철,KIA,0.261,58,53,46,12,1,0,0,3,2002,KBO 시범경기
8,9,홍세완,KIA,0.257,111,449,401,103,21,0,12,69,2002,KBO 시범경기
9,10,이현곤,KIA,0.257,52,122,113,29,7,1,3,12,2002,KBO 시범경기
10,11,펨버튼,KIA,0.255,75,316,271,69,13,1,11,48,2002,KBO 시범경기
11,12,오우진,KIA,0.250,14,17,16,4,0,0,0,2,2002,KBO 시범경기
12,12,장일현,KIA,0.250,81,145,132,33,8,0,3,19,2002,KBO 시범경기
13,14,김인철,KIA,0.235,37,53,51,12,4,0,1,6,2002,KBO 시범경기
14,15,김지훈,KIA,0.229,49,52,48,11,1,0,3,9,2002,KBO 시범경기
15,15,이동수,KIA,0.229,28,56,48,11,1,0,0,8,2002,KBO 시범경기
16,17,김태룡,KIA,0.227,66,105,97,22,6,0,2,8,2002,KBO 시범경기
17,18,장정석,KIA,0.225,75,116,102,23,5,0,1,7,2002,KBO 시범경기
18,19,김상훈,KIA,0.221,113,391,357,79,12,0,7,41,2002,KBO 시범경기
19,20,김창희,KIA,0.216,114,350,310,67,12,0,5,35,2002,KBO 시범경기
20,21,조민철,KIA,0.214,12,16,14,3,0,0,0,2,2002,KBO 시범경기
21,22,뉴선,KIA,0.209,35,133,115,24,5,0,7,17,2002,KBO 시범경기
22,23,이재주,KIA,0.152,26,37,33,5,0,0,2,5,2002,KBO 시범경기
23,24,김지영,KIA,0.136,11,23,22,3,0,0,0,1,2002,KBO 시범경기
24,25,이대진,KIA,0.083,23,38,36,3,1,1,0,4,2002,KBO 시범경기
25,26,박충식,KIA,-,1,0,0,0,0,0,0,0,2002,KBO 시범경기
26,26,방동민,KIA,-,1,0,0,0,0,0,0,0,2002,KBO 시범경기
27,26,심제훈,KIA,0.000,4,2,2,0,0,0,0,0,2002,KBO 시범경기
28,26,이강철,KIA,-,2,0,0,0,0,0,0,0,2002,KBO 시범경기
0,1,신동주,KIA,0.438,12,34,32,14,2,0,2,8,2002,KBO 와일드카드
1,2,김태룡,KIA,0.417,9,13,12,5,3,0,0,3,2002,KBO 와일드카드
2,3,김종국,KIA,0.385,9,27,26,10,3,0,2,6,2002,KBO 와일드카드
