,순위,선수명,팀명,AVG,G,PA,AB,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,E,년도,경기타입
5,6,김형석,OB,0.269,7,30,26,7,4,0,0,1,2,0,3,0,2,0,0,1995,KBO 한국시리즈
6,7,김종석,OB,0.261,7,24,23,6,0,0,0,3,0,0,1,0,2,1,0,1995,KBO 한국시리즈
7,8,김태형,OB,0.25,6,21,20,5,0,0,0,1,0,0,0,0,2,1,0,1995,KBO 한국시리즈
8,9,심정수,OB,0.185,7,30,27,5,1,0,1,4,0,1,2,0,9,1,0,1995,KBO 한국시리즈
9,9,안경현,OB,0.185,7,28,27,5,3,0,0,2,0,0,0,1,1,1,1,1995,KBO 한국시리즈
10,11,이도형,OB,0.091,4,12,11,1,0,0,0,0,0,0,0,0,6,0,0,1995,KBO 한국시리즈
11,12,김광현,OB,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,KBO 한국시리즈
0,1,박정태,롯데,0.337,50,201,178,60,16,1,2,34,2,0,21,1,21,2,4,1995,KBO 정규시즌
1,2,이종운,롯데,0.315,62,198,178,56,4,3,0,20,15,1,12,1,17,3,0,1995,KBO 정규시즌
2,3,전준호,롯데,0.308,124,540,458,141,13,12,1,42,69,25,62,6,54,5,1,1995,KBO 정규시즌
3,4,김응국,롯데,0.299,104,435,364,109,14,4,8,61,31,5,57,5,45,7,4,1995,KBO 정규시즌
4,5,마해영,롯데,0.275,126,551,476,131,26,4,18,87,16,6,54,13,82,13,7,1995,KBO 정규시즌
5,6,공필성,롯데,0.264,126,476,390,103,14,6,4,50,22,5,52,22,68,5,13,1995,KBO 정규시즌
6,7,임수혁,롯데,0.247,104,300,271,67,9,2,15,68,2,0,24,2,59,7,3,1995,KBO 정규시즌
7,8,김종헌,롯데,0.239,102,306,268,64,6,6,0,31,21,10,25,3,48,5,2,1995,KBO 정규시즌
8,9,김종훈,롯데,0.238,71,172,160,38,6,2,4,23,13,4,10,0,33,2,2,1995,KBO 정규시즌
9,10,전봉석,롯데,0.231,22,15,13,3,0,0,0,0,0,0,0,1,7,0,0,1995,KBO 정규시즌
10,11,강성우,롯데,0.222,75,173,158,35,4,1,0,12,2,1,10,0,15,3,5,1995,KBO 정규시즌
11,12,박현승,롯데,0.221,48,118,95,21,4,1,1,8,1,0,14,4,24,0,3,1995,KBO 정규시즌
12,13,조성옥,롯데,0.220,28,44,41,9,0,0,0,0,0,0,1,0,4,0,0,1995,KBO 정규시즌
13,14,김민재,롯데,0.215,122,383,325,70,14,4,1,32,5,3,36,5,53,3,16,1995,KBO 정규시즌
14,15,김민호,롯데,0.215,88,310,284,61,15,3,5,39,2,2,20,0,67,9,2,1995,KBO 정규시즌
15,16,김미호,롯데,0.207,25,64,58,12,3,1,0,3,1,1,4,1,13,3,2,1995,KBO 정규시즌
16,17,조규철,롯데,0.205,95,86,73,15,1,1,0,5,10,2,8,1,20,0,2,1995,KBO 정규시즌
17,18,손동일,롯데,0.203,84,219,197,40,7,0,5,23,5,4,16,1,55,3,0,1995,KBO 정규시즌
18,19,김선일,롯데,0.200,24,49,45,9,0,0,0,2,0,0,3,0,4,2,1,1995,KBO 정규시즌
19,19,한영준,롯데,0.200,64,114,95,19,2,0,0,10,0,3,13,4,14,1,0,1995,KBO 정규시즌
20,21,권재광,롯데,0.167,10,21,18,3,0,0,1,3,1,0,2,1,6,0,0,1995,KBO 정규시즌
21,21,박지환,롯데,0.167,13,20,18,3,0,0,0,0,1,0,2,0,6,0,2,1995,KBO 정규시즌
22,23,박종일,롯데,0.133,18,15,15,2,0,0,0,0,1,0,0,0,4,2,0,1995,KBO 정규시즌
23,24,김영일,롯데,0.000,11,8,8,0,0,0,0,0,0,1,0,0,3,0,0,1995,KBO 정규시즌
24,24,김옥일,롯데,-,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,KBO 정규시즌
